id,safra,y,VAR_1,VAR_32,VAR_52,VAR_45,VAR_24,VAR_72,VAR_44,VAR_17,VAR_11,VAR_58,VAR_20,VAR_57,VAR_25,VAR_22,VAR_13,VAR_39,VAR_7,VAR_8,VAR_4,VAR_53,VAR_59,VAR_38,VAR_33,VAR_65,VAR_30,VAR_35,VAR_60,VAR_9,VAR_15,VAR_3,VAR_40,VAR_6,VAR_28,VAR_2,VAR_54,VAR_76,VAR_64,VAR_34,VAR_19,VAR_5
601,201409,1,16.0,0.0571981886428283,197.97,298.53499999999997,305.92,36.0,0.0,800.0,27.91,262.0,12,32,0.0,0.0,67.99000000000001,257.0,36.0,55.03,0.0,1565.92,249.55,252.0,0.0,91.8,800.0,158.69,-0.354107585360257,800.0,48.58,0.0,0.0,189.0,0.0,0.0,800.0,312.85,1,229.88,0.0,69.37
4320,201409,1,82.0,0.090634138151029,498.96,298.53499999999997,584.92,83.0,0.0,4892.15,43.23,399.0,12,47,0.0,0.0,67.99000000000001,257.0,84.16,124.24,1.0,1928.1,249.55,420.81,0.0,619.34,2964.05,172.94,0.079926420595367,2000.0,124.74,1.0,0.0,339.0,0.0,0.0,2000.0,312.85,1,496.96,0.0,83.56
8725,201406,1,112.0,0.0571981886428283,197.97,298.53499999999997,305.92,24.0,0.0,1600.0,53.55,262.0,8,27,0.0,0.0,67.99000000000001,257.0,25.17,19.4,1.0,500.0,249.55,176.19,0.0,252.8,500.0,223.84,-0.411786729965823,500.0,48.58,1.0,0.0,175.0,0.0,1.0,500.0,312.85,1,135.8,0.0,69.37
8977,201402,0,0.0,0.133832912727673,39.99,159.95,306.02,43.0,11.0,700.0,13.99,267.0,12,49,12.0,50.0,59.97,157.0,53.98,22.99,0.0,2000.0,331.16,224.3,5.0,6632.04,1000.0,41.98,0.079926420595367,1000.0,13.33,0.0,11.0,3069.0,12.0,0.0,1202.14,377.95,0,45.99,45.0,67.66
3547,201402,0,20.0,0.090634138151029,197.97,298.53499999999997,200.55,59.0,0.0,1600.0,53.55,200.0,4,28,0.0,0.0,67.99000000000001,257.0,127.76,39.49,0.0,600.0,249.55,127.76,0.0,323.57,300.0,223.84,-0.411786729965823,300.0,48.58,0.0,0.0,438.0,0.0,0.0,1202.14,312.85,1,157.96,0.0,40.11
2135,201403,1,0.0,0.133832912727673,59.99,298.53499999999997,305.92,225.0,4.0,960.04,53.55,262.0,12,34,7.0,23.0,67.99000000000001,257.0,29.49,55.03,0.0,5120.08,71.24,117.96,7.0,1860.0,2000.0,223.84,-0.30845333657335,2000.0,19.99,0.0,3.0,4742.0,8.0,0.0,6320.08,35.8,0,229.88,16.0,69.37
9003,201407,1,136.0,0.133832912727673,197.97,57.97,305.92,229.0,12.0,1600.0,53.55,262.0,12,50,11.0,104.0,28.98,56.0,22.99,55.03,2.0,2700.0,120.0,45.98,13.0,750.0,1500.0,223.84,0.156301087833759,1500.0,48.58,1.0,10.0,4817.0,12.0,2.0,1800.0,337.61,0,229.88,91.0,69.37
7545,201404,0,0.0,0.133832912727673,156.34,298.53499999999997,305.92,358.0,0.0,4500.0,53.55,262.0,12,42,2.0,30.0,67.99000000000001,257.0,53.98,55.03,0.0,10014.92,0.0,224.3,7.0,750.0,4000.0,223.84,-0.0737564789495467,3000.0,52.11,0.0,0.0,3148.0,3.0,0.0,3802.05,0.0,1,229.88,23.0,69.37
2869,201403,0,0.0,0.090634138151029,197.97,298.53499999999997,178.95,107.0,0.0,1600.0,35.71,176.0,8,27,0.0,0.0,67.99000000000001,257.0,109.99,55.03,0.0,530.0,249.55,219.98,0.0,750.0,530.0,249.97,-0.411786729965823,530.0,48.58,0.0,0.0,452.0,0.0,0.0,530.0,312.85,1,229.88,0.0,77.63
7354,201401,0,62.0,0.090634138151029,197.97,298.53499999999997,150.99,354.0,0.0,500.0,53.55,98.0,5,38,0.0,0.0,67.99000000000001,257.0,53.98,55.03,1.0,3000.0,249.55,224.3,0.0,750.0,1000.0,223.84,-0.231735369185606,1000.0,48.58,1.0,0.0,354.0,0.0,0.0,1202.14,312.85,1,229.88,0.0,21.57
9769,201407,0,21.0,0.133832912727673,197.97,298.53499999999997,571.97,138.0,2.0,5000.0,53.55,385.0,12,59,9.0,7.0,67.99000000000001,257.0,70.33,55.03,0.0,6560.0,249.55,492.31,2.0,1751.07,1000.0,223.84,0.357323965312407,1000.0,48.58,0.0,2.0,2695.0,11.0,0.0,3520.0,312.85,0,229.88,5.0,81.71
8991,201405,1,169.0,0.133832912727673,197.97,479.94,305.92,67.0,10.0,1600.0,53.55,262.0,12,31,0.0,29.0,99.63,430.0,53.98,47.18,5.0,1121.34,413.62,224.3,26.0,75.34,1121.34,223.84,-0.411786729965823,1121.34,48.58,2.0,7.0,4525.0,0.0,5.0,1721.34,509.92,0,235.94,3.0,69.37
7302,201408,0,20.0,0.133832912727673,197.97,298.53499999999997,305.92,95.0,12.0,755.25,48.71,262.0,12,62,9.0,0.0,67.99000000000001,257.0,53.98,55.03,0.0,2055.25,331.0,224.3,0.0,126.15,1100.0,340.97,0.357323965312407,1100.0,48.58,0.0,9.0,1403.0,11.0,0.0,4321.0,348.82,0,229.88,0.0,69.37
